cell_id,x,y,sample_id,condition,genotype,cell_type,niche_k12,niche_k8,niche_k10
output-XETG00045__0059976__litt_24h__20250725__091031_aadjpplj-1,464.4017333984375,3996.470947265625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Macrophage (IFN+ M1/M2),2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aadlpcbm-1,404.3116760253906,3895.64013671875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaebjbgn-1,401.4620971679688,3928.11865234375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Inflammatory Macrophage (GRN+ chemokine),2,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaecbona-1,411.553466796875,3892.7763671875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaedcdfp-1,411.5396423339844,3885.59130859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaeekojd-1,15.088598251342772,3881.279052734375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Wound-Associated Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaefknhn-1,75.34683227539062,3936.227294921875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaegfceg-1,71.76712036132812,3847.598876953125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Stress-Responsive Epithelial Cell (TP63- KRT71+),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaekcmbh-1,43.36674880981445,3893.49853515625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaemoedg-1,30.87554168701172,3806.2021484375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Arg1+ Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaenpkao-1,336.4415283203125,3825.956787109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,DAMP-Responsive Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaeoanpo-1,299.0951232910156,3880.514404296875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaepgdbo-1,255.5812225341797,3876.30859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aafbhhhg-1,217.2633819580078,3955.974853515625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aafbicih-1,284.4468078613281,3914.866455078125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,DAMP-Responsive Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aafgojfg-1,127.92715454101562,3921.112060546875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aafjiiol-1,83.89529418945312,3928.63037109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Acute Graft-Response Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aagdmdbb-1,589.0090942382812,3965.103271484375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Activated Endothelial Cell,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aagdpdjm-1,631.3707275390625,3960.01904296875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IL33+ Inflammatory Fibroblast,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aagigjfc-1,604.7529296875,3975.965087890625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Outer Root Sheath Keratinocyte (Sox9+ Trp63+),8,4,0
