,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
11788,Fbxl20,Oprl1_cre_vs_C57_wt,0.523600896530704,0.10290683003557717,0.26387792524732406,6.112953368997599,5.589352472466895,2,3,pseudobulk_mean
11789,Lhx9,Oprl1_cre_vs_C57_wt,0.649888190150441,0.10291455455494083,0.26387792524732406,1.2021789260215665,0.5522907358711255,2,3,pseudobulk_mean
11790,Ptgr1,Oprl1_cre_vs_C57_wt,1.4543500675071277,0.10292185785802821,0.26387792524732406,7.549773021491109,6.095422953983982,2,3,pseudobulk_mean
11791,Rnf130,Oprl1_cre_vs_C57_wt,-0.2681635065016108,0.10292712704029781,0.26387792524732406,7.514421828463327,7.782585334964938,2,3,pseudobulk_mean
11792,Prm1,Oprl1_cre_vs_C57_wt,0.6317461330170968,0.10295196718708935,0.26387792524732406,1.0975249216318406,0.4657787886147437,2,3,pseudobulk_mean
11793,Elavl1,Oprl1_cre_vs_C57_wt,-0.26009363070645186,0.10309958727569095,0.26411908806763196,9.812006790932493,10.072100421638945,2,3,pseudobulk_mean
11794,Tjp2,Oprl1_cre_vs_C57_wt,0.3301109237357549,0.1032245276406528,0.2643019301395853,7.665163549049867,7.335052625314112,2,3,pseudobulk_mean
11795,Eln,Oprl1_cre_vs_C57_wt,-0.7065801513478336,0.1033539460804299,0.2643200719886034,5.941072087268427,6.647652238616261,2,3,pseudobulk_mean
11796,Hoxc10,Oprl1_cre_vs_C57_wt,0.3592443684054727,0.10336591727978989,0.2643200719886034,2.1065675631573777,1.747323194751905,2,3,pseudobulk_mean
11797,Huwe1,Oprl1_cre_vs_C57_wt,0.5367164107451456,0.10342569265664137,0.2643200719886034,8.311598958672995,7.77488254792785,2,3,pseudobulk_mean
11798,Alx1,Oprl1_cre_vs_C57_wt,-0.37961957616437303,0.10353271950707703,0.2643200719886034,6.381448585379168,6.761068161543541,2,3,pseudobulk_mean
11799,Pias1,Oprl1_cre_vs_C57_wt,0.7140089339499642,0.10355147359837226,0.2643200719886034,6.791733493868724,6.07772455991876,2,3,pseudobulk_mean
11800,Kcnj10,Oprl1_cre_vs_C57_wt,0.36444893406415246,0.10355303995824289,0.2643200719886034,0.9602018196663709,0.5957528856022184,2,3,pseudobulk_mean
11801,Sostdc1,Oprl1_cre_vs_C57_wt,2.8874907353917685,0.10371335549721489,0.26452749197135583,6.962418383459747,4.074927648067979,2,3,pseudobulk_mean
11802,Afap1l2,Oprl1_cre_vs_C57_wt,0.5643753092280912,0.10374152755666265,0.26452749197135583,8.165309144228178,7.600933835000087,2,3,pseudobulk_mean
11803,Jmjd6,Oprl1_cre_vs_C57_wt,-0.9029290792128482,0.10384447277176476,0.2646532172809335,8.40959834716234,9.312527426375189,2,3,pseudobulk_mean
11804,Atp1b2,Oprl1_cre_vs_C57_wt,-0.6258665073595839,0.1039474251579977,0.2647514171129675,4.440584840486012,5.066451347845596,2,3,pseudobulk_mean
11805,Mkks,Oprl1_cre_vs_C57_wt,0.5147201394998739,0.10401440708794563,0.2647514171129675,4.191706945610496,3.6769868061106217,2,3,pseudobulk_mean
11806,Srsf1,Oprl1_cre_vs_C57_wt,-0.3862427884745667,0.1040439800936449,0.2647514171129675,8.892057844652431,9.278300633126998,2,3,pseudobulk_mean
11807,Nfya,Oprl1_cre_vs_C57_wt,-0.27117853782163603,0.10425022684062925,0.26513949444931173,6.205450314644126,6.476628852465762,2,3,pseudobulk_mean
11808,Tead2,Oprl1_cre_vs_C57_wt,-0.44713660486364226,0.10441790524068047,0.26537161429277745,7.1026454434106885,7.549782048274331,2,3,pseudobulk_mean
11809,Ldlrad4,Oprl1_cre_vs_C57_wt,1.26824077119,0.10444906261787065,0.26537161429277745,4.436053221132603,3.1678124499426032,2,3,pseudobulk_mean
11810,Fhl2,Oprl1_cre_vs_C57_wt,1.768034578487991,0.10452783928694664,0.2653847851363379,3.947235278280597,2.179200699792606,2,3,pseudobulk_mean
11811,Dlg5,Oprl1_cre_vs_C57_wt,0.34941657787012925,0.104608843572884,0.2653847851363379,7.65542673532646,7.30601015745633,2,3,pseudobulk_mean
11812,Dbnl,Oprl1_cre_vs_C57_wt,-0.4144889603566053,0.1046156074361932,0.2653847851363379,9.87584647977733,10.290335440133935,2,3,pseudobulk_mean
11813,Lpin1,Oprl1_cre_vs_C57_wt,-0.9385513804925711,0.10471220329956292,0.2654933253237633,4.972811574333859,5.91136295482643,2,3,pseudobulk_mean
11814,Rtn3,Oprl1_cre_vs_C57_wt,0.835385072857143,0.10490447876033801,0.2658442209571175,10.65761239672134,9.822227323864198,2,3,pseudobulk_mean
11815,Igfbp2,Oprl1_cre_vs_C57_wt,1.274651780556364,0.1052014551607308,0.2664339817599144,4.889986298787176,3.615334518230812,2,3,pseudobulk_mean
11816,Tbx3,Oprl1_cre_vs_C57_wt,0.7113241313847116,0.10524520276653287,0.2664339817599144,1.8706601069429012,1.1593359755581896,2,3,pseudobulk_mean
11817,Nova2,Oprl1_cre_vs_C57_wt,-0.5792661087337119,0.1054884418051246,0.26691280608537676,2.821860625898353,3.401126734632065,2,3,pseudobulk_mean
11818,Myo5a,Oprl1_cre_vs_C57_wt,0.11289774199807034,0.10573297596950564,0.26739441488136384,9.055206056547927,8.942308314549857,2,3,pseudobulk_mean
11819,Atp5o,Oprl1_cre_vs_C57_wt,-0.5767798331204546,0.10596537286586942,0.26768462052829634,9.74015362182967,10.316933454950124,2,3,pseudobulk_mean
