,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
17011,Rpe65,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17012,Slc30a8,cre_72h_vs_litt_72h,0.6023280097219911,0.42264973081037416,0.8932751903536521,0.6023280097219911,0.0,3,3,pseudobulk_mean
17013,Avpr2,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17014,Cd160,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17015,Dlk1,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17016,Fshr,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17017,Hmx3,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17018,Pax9,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17019,Pklr,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17020,Prl8a2,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17021,Uba1y,cre_72h_vs_litt_72h,0.406077208716425,0.42264973081037416,0.8932751903536521,0.406077208716425,0.0,3,3,pseudobulk_mean
17022,Abcg8,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17023,Barhl1,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17024,Nlrp4f,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17025,Slc22a2,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17026,Slc2a2,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17027,Tmem108,cre_72h_vs_litt_72h,-0.5480467509991173,0.42264973081037416,0.8932751903536521,0.0,0.5480467509991173,3,3,pseudobulk_mean
17028,Igsf5,cre_72h_vs_litt_72h,-1.9549655100629362,0.42264973081037416,0.8932751903536521,0.0,1.9549655100629362,3,3,pseudobulk_mean
17029,Tlr12,cre_72h_vs_litt_72h,0.9774210124791759,0.42264973081037427,0.8932751903536521,0.9774210124791759,0.0,3,3,pseudobulk_mean
