,comparison,gene,logfoldchange,pval,pval_adj
12386,litt_24h_vs_wt_24h,Crygb,0.37388074,0.9965887868103018,1.0
12387,litt_24h_vs_wt_24h,Lrp2,0.37388074,0.9965887868103018,1.0
12388,litt_24h_vs_wt_24h,Edn3,0.37388074,0.9965887868103018,1.0
12389,litt_24h_vs_wt_24h,Atp4b,0.37388074,0.9965887868103018,1.0
12390,litt_24h_vs_wt_24h,Cacng3,0.37388074,0.9965887868103018,1.0
12391,litt_24h_vs_wt_24h,Pah,0.37388074,0.9965887868103018,1.0
12392,litt_24h_vs_wt_24h,Col9a2,0.37388074,0.9965887868103018,1.0
12393,litt_24h_vs_wt_24h,Gpr101,0.37388074,0.9965887868103018,1.0
12394,litt_24h_vs_wt_24h,Angptl8,0.37388074,0.9965887868103018,1.0
12395,litt_24h_vs_wt_24h,Klrd1,0.37388074,0.9965887868103018,1.0
12396,litt_24h_vs_wt_24h,Kif2b,0.37388074,0.9965887868103018,1.0
12397,litt_24h_vs_wt_24h,Slc2a2,0.37388074,0.9965887868103018,1.0
12398,litt_24h_vs_wt_24h,Prss41,0.37388074,0.9965887868103018,1.0
12399,litt_24h_vs_wt_24h,Ffar3,0.37388074,0.9965887868103018,1.0
12400,litt_24h_vs_wt_24h,Nrl,0.37388074,0.9965887868103018,1.0
12401,litt_24h_vs_wt_24h,Evx2,0.37388074,0.9965887868103018,1.0
12402,litt_24h_vs_wt_24h,Slc6a11,-0.6261957,0.9965905014081513,1.0
12403,litt_24h_vs_wt_24h,Kat6b,0.03690123,0.9967079513978933,1.0
12404,litt_24h_vs_wt_24h,Cenpu,0.011312479,0.9967388141808593,1.0
12405,litt_24h_vs_wt_24h,Fzd3,0.052006904,0.9968836978653534,1.0
12406,litt_24h_vs_wt_24h,Polr2j,0.052006904,0.9968836978653534,1.0
12407,litt_24h_vs_wt_24h,Apba1,0.025956843,0.9970714466974127,1.0
12408,litt_24h_vs_wt_24h,Fign,0.025956843,0.9970714466974127,1.0
12409,litt_24h_vs_wt_24h,Fbxw11,-0.014857767,0.997178609346147,1.0
12410,litt_24h_vs_wt_24h,Smap2,0.025025928,0.9972249036262558,1.0
12411,litt_24h_vs_wt_24h,Pzp,0.37393165,0.997235191245332,1.0
12412,litt_24h_vs_wt_24h,Foxd3,0.37393165,0.997235191245332,1.0
12413,litt_24h_vs_wt_24h,Epb42,0.11084425,0.9972377631501729,1.0
12414,litt_24h_vs_wt_24h,Slco4c1,0.11084425,0.9972377631501729,1.0
12415,litt_24h_vs_wt_24h,Fshb,0.11084425,0.9972377631501729,1.0
12416,litt_24h_vs_wt_24h,Chrna6,0.11084425,0.9972377631501729,1.0
12417,litt_24h_vs_wt_24h,Rhpn2,0.11084425,0.9972377631501729,1.0
12418,litt_24h_vs_wt_24h,Tas1r1,0.11084425,0.9972377631501729,1.0
12419,litt_24h_vs_wt_24h,Gfi1b,0.11084425,0.9972377631501729,1.0
12420,litt_24h_vs_wt_24h,Xkr6,0.11084425,0.9972377631501729,1.0
12421,litt_24h_vs_wt_24h,Foxn4,0.11084425,0.9972377631501729,1.0
12422,litt_24h_vs_wt_24h,Shisa3,-0.30427498,0.9972420496583049,1.0
12423,litt_24h_vs_wt_24h,Icosl,-0.0046628863,0.9974057943273964,1.0
12424,litt_24h_vs_wt_24h,Rnaseh2b,0.011306619,0.9975541076561917,1.0
12425,litt_24h_vs_wt_24h,Eloc,0.07436883,0.9977067075855398,1.0
