timepoint,genotype,theme,resolution,n_samples,mean,sem
24h,wt,neurogenic_inflammation,comp,2,-0.001224714617871885,0.0015436435663383978
72h,litt,wound_healing,whole,3,0.018428859803983916,0.003527273363139141
72h,cre,wound_healing,whole,3,0.020344550920224688,0.0033756047342042984
72h,wt,wound_healing,whole,3,0.026113183153776143,0.0027647593989501566
72h,litt,wound_healing,comp,3,0.04464867242209782,0.014727852073975537
72h,cre,wound_healing,comp,3,0.03356218532267215,0.007897770655972434
72h,wt,wound_healing,comp,3,0.03534049485760995,0.0029393264505026264
72h,litt,vascular_repair,whole,3,-0.0018753606457888943,0.0013336408206200583
72h,cre,vascular_repair,whole,3,-0.006713306515925259,0.0009254900629259155
72h,wt,vascular_repair,whole,3,-0.004245010118809363,0.0006067214448966958
72h,litt,vascular_repair,comp,3,0.030716333880169422,0.006193065281595222
72h,cre,vascular_repair,comp,3,0.022287375041188374,0.006780132015133902
72h,wt,vascular_repair,comp,3,0.0379882751667129,0.0019555124283393817
72h,litt,immunity_recruitment,whole,3,0.003911162481293427,0.012233868472475002
72h,cre,immunity_recruitment,whole,3,-0.011005449647734472,0.0018090581966913
72h,wt,immunity_recruitment,whole,3,-0.004683936906689354,0.001484495908554628
72h,litt,immunity_recruitment,comp,3,0.019186184801540412,0.010020796233454221
72h,cre,immunity_recruitment,comp,3,0.004788475820806181,0.005489144583256095
72h,wt,immunity_recruitment,comp,3,0.017456921861228457,0.0037210514127992544
72h,litt,inflammation_resolution,whole,3,0.01732899830919998,0.023413260085983423
72h,cre,inflammation_resolution,whole,3,-0.00667035448103515,0.0015527044306391973
72h,wt,inflammation_resolution,whole,3,-0.0017100185829854607,0.001807669274879893
72h,litt,inflammation_resolution,comp,3,0.028150272893516515,0.028401201405160056
72h,cre,inflammation_resolution,comp,3,0.00189855557612156,0.0034100568486602994
72h,wt,inflammation_resolution,comp,3,0.010446631253982151,0.005165323408273149
72h,litt,fibrosis_matrix,whole,3,0.045794403546591256,0.01586976889435844
72h,cre,fibrosis_matrix,whole,3,0.04656450962676353,0.0026669571716942063
72h,wt,fibrosis_matrix,whole,3,0.06585101969266582,0.0017282690939564652
72h,litt,fibrosis_matrix,comp,3,0.17324876079694315,0.018395661293848096
72h,cre,fibrosis_matrix,comp,3,0.2022747473970754,0.0005636674243751805
72h,wt,fibrosis_matrix,comp,3,0.20776096451930282,0.004375083579599435
72h,litt,neuroimmune,whole,3,-0.001411678255314263,0.0005640884282437554
72h,cre,neuroimmune,whole,3,-0.004346033543146611,0.001094413512639173
72h,wt,neuroimmune,whole,3,-0.0022614379947716325,0.0006787900670290444
72h,litt,neuroimmune,comp,3,-0.00042787659506142314,0.00045280204212476123
72h,cre,neuroimmune,comp,3,-0.0018957412444129782,0.00017394421520889895
72h,wt,neuroimmune,comp,3,-0.00046877603809807045,0.0008606649393207087
72h,litt,pain_sensory,whole,3,-0.0011622057756043443,0.00046028607011180006
72h,cre,pain_sensory,whole,3,-0.0021009466342634627,0.0003898289928725625
72h,wt,pain_sensory,whole,3,-0.001151186197244131,0.00033707492215981724
72h,litt,pain_sensory,comp,3,-0.0011622057756043443,0.00046028607011180006
72h,cre,pain_sensory,comp,3,-0.0021009466342634627,0.0003898289928725625
72h,wt,pain_sensory,comp,3,-0.001151186197244131,0.00033707492215981724
72h,litt,neuropeptides,whole,3,-0.0004357896315825567,0.00029100941165882547
72h,cre,neuropeptides,whole,3,-0.0008368992818615896,0.0001697624589190609
72h,wt,neuropeptides,whole,3,-0.0004077248790656603,5.1909029833971896e-05
72h,litt,neuropeptides,comp,3,-0.0004357896315825567,0.00029100941165882547
72h,cre,neuropeptides,comp,3,-0.0008368992818615896,0.0001697624589190609
72h,wt,neuropeptides,comp,3,-0.0004077248790656603,5.1909029833971896e-05
72h,litt,neurogenic_inflammation,whole,3,-0.010299156566073222,0.005181074042975242
72h,cre,neurogenic_inflammation,whole,3,-0.015366022783704742,0.0008741066215019685
72h,wt,neurogenic_inflammation,whole,3,-0.013824585885606713,0.0009707260795641862
72h,litt,neurogenic_inflammation,comp,3,-0.007385666767040891,0.004754678622235351
72h,cre,neurogenic_inflammation,comp,3,-0.011061182840308577,0.001848418167250066
72h,wt,neurogenic_inflammation,comp,3,-0.009766265482720004,0.0019378552617320384
